satellite_id,sensor_type,scheduled_acquisitions,acquisition_limit,acquisition_utilization_ratio,imaging_time_s,imaging_time_limit_s,imaging_utilization_ratio,generated_data_mb,initial_memory_usage_mb,planning_memory_limit_mb,final_memory_usage_mb,memory_utilization_ratio
EO-01,OPTICAL,2,40,0.05,28.334,3600.0,0.007871,510.012,20000.0,512000.0,20510.012,0.040059
EO-02,OPTICAL,8,40,0.2,113.336,3600.0,0.031482,2380.056,15000.0,512000.0,17380.056,0.033945
SAR-01,SAR,2,30,0.066667,73.334,3600.0,0.020371,1320.012,10000.0,256000.0,11320.012,0.044219
SAR-02,SAR,5,30,0.166667,290.001,3600.0,0.080556,4020.015,8000.0,256000.0,12020.015,0.046953
SAR-03,SAR,3,30,0.1,110.001,3600.0,0.030556,1980.018,12000.0,256000.0,13980.018,0.054609
SAR-04,SAR,3,30,0.1,120.001,3600.0,0.033334,1786.682,5000.0,256000.0,6786.682,0.02651
