satellite_id,sensor_type,scheduled_acquisitions,acquisition_limit,acquisition_utilization_ratio,imaging_time_s,imaging_time_limit_s,imaging_utilization_ratio,generated_data_mb,initial_memory_usage_mb,planning_memory_limit_mb,final_memory_usage_mb,memory_utilization_ratio
EO-01,OPTICAL,12,12,1.0,255.25,360.0,0.709028,5418.0,20000.0,25500.0,25418.0,0.996784
EO-02,OPTICAL,12,12,1.0,258.0,360.0,0.716667,5401.5,15000.0,25500.0,20401.5,0.800059
SAR-01,SAR,8,8,1.0,380.0,600.0,0.633333,6840.0,10000.0,17000.0,16840.0,0.990588
SAR-02,SAR,8,8,1.0,408.0,600.0,0.68,6800.0,8000.0,17000.0,14800.0,0.870588
SAR-03,SAR,6,8,0.75,251.0,600.0,0.418333,4980.0,12000.0,17000.0,16980.0,0.998824
SAR-04,SAR,8,8,1.0,371.0,600.0,0.618333,6820.0,5000.0,17000.0,11820.0,0.695294
