satellite_id,sensor_type,scheduled_acquisitions,acquisition_limit,acquisition_utilization_ratio,imaging_time_s,imaging_time_limit_s,imaging_utilization_ratio,generated_data_mb,initial_memory_usage_mb,planning_memory_limit_mb,final_memory_usage_mb,memory_utilization_ratio
EO-01,OPTICAL,6,40,0.15,85.002,3600.0,0.023612,1700.04,20000.0,512000.0,21700.04,0.042383
EO-02,OPTICAL,6,40,0.15,85.002,3600.0,0.023612,1700.04,15000.0,512000.0,16700.04,0.032617
SAR-01,SAR,3,30,0.1,110.001,3600.0,0.030556,1793.351,10000.0,256000.0,11793.351,0.046068
SAR-02,SAR,4,30,0.133333,163.334,3600.0,0.045371,2940.012,8000.0,256000.0,10940.012,0.042734
SAR-03,SAR,3,30,0.1,120.001,3600.0,0.033334,1786.682,12000.0,256000.0,13786.682,0.053854
SAR-04,SAR,2,30,0.066667,73.334,3600.0,0.020371,1320.012,5000.0,256000.0,6320.012,0.024688
