satellite_id,sensor_type,scheduled_acquisitions,acquisition_limit,acquisition_utilization_ratio,imaging_time_s,imaging_time_limit_s,imaging_utilization_ratio,generated_data_mb,initial_memory_usage_mb,planning_memory_limit_mb,final_memory_usage_mb,memory_utilization_ratio
EO-01,OPTICAL,12,12,1.0,244.25,360.0,0.678472,4558.5,20000.0,25500.0,24558.5,0.963078
EO-02,OPTICAL,12,12,1.0,241.5,360.0,0.670833,4605.0,15000.0,25500.0,19605.0,0.768824
SAR-01,SAR,8,8,1.0,365.0,600.0,0.608333,6570.0,10000.0,17000.0,16570.0,0.974706
SAR-02,SAR,8,8,1.0,383.0,600.0,0.638333,6350.0,8000.0,17000.0,14350.0,0.844118
SAR-03,SAR,6,8,0.75,251.0,600.0,0.418333,4980.0,12000.0,17000.0,16980.0,0.998824
SAR-04,SAR,8,8,1.0,356.0,600.0,0.593333,6550.0,5000.0,17000.0,11550.0,0.679412
