scenario_id,algorithm,solver_status,schedule_status,schedule_id,objective_value,fully_satisfied_requests,partially_satisfied_requests,unassigned_requests,mandatory_satisfied_requests,total_acquisitions,sar_acquisitions,optical_acquisitions,total_duration_s,total_data_volume_mb,average_selected_quality,average_selected_coverage,satisfaction_ratio,solver_runtime_s,objective_difference_vs_greedy,objective_improvement_pct_vs_greedy,fully_satisfied_difference_vs_greedy,unassigned_reduction_vs_greedy,runtime_ratio_vs_greedy
STRESS-80-800,GREEDY,NOT_APPLICABLE,FEASIBLE,SCHEDULE-STRESS-GREEDY,3940.57,46,0,34,4,54,30,24,1923.25,36259.5,0.90463,0.963148,0.575,0.002205,0.0,0.0,0,0,1.0
STRESS-80-800,CP_SAT,FEASIBLE,FEASIBLE,SCHEDULE-STRESS-CP-SAT,5147.74,54,0,26,4,54,30,24,1840.75,33613.5,0.888148,0.961667,0.675,30.009898,1207.17,30.634401,8,8,13609.931066
